食譜名稱,作者,圖片,份數,料理時間,食材,食材數量,料理步驟
"
絲瓜滑蛋
",廚房女漢子-Ritas,https://img-global.cpcdn.com/recipes/0e488f668035737a/751x532cq70/%E7%B5%B2%E7%93%9C%E6%BB%91%E8%9B%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 4人份
  ","
 30 分鐘
      ","絲瓜
蝦米
全蛋
蔥
調味料
鹽
香油
","2 條
10 尾
2 顆
2 根

1 茶匙
少許
",1.蝦米洗淨冷水泡開；蔥和絲瓜洗淨；全蛋加少許鹽和1湯匙水打散； 蔥1根切段、1根切蔥花；絲瓜去皮和切頭尾，以滾刀切塊；炒鍋加熱放少許油炒香蔥花後下蛋液快炒到7分熟後起鍋；2.原鍋再放些油，下蔥白和蝦米炒香；下絲瓜拌炒，放1/4杯水拌炒；3.蓋鍋蓋中火燜煮3分鐘到絲瓜煮透；開鍋蓋用鹽調味拌勻；試味道；放入蛋和蔥綠拌炒一下後關火，加入香油即可起鍋。
"
蝦仁絲瓜
",yu ronny,https://img-global.cpcdn.com/recipes/aa652801fd7a8587/751x532cq70/%E8%9D%A6%E4%BB%81%E7%B5%B2%E7%93%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ",Na,"絲瓜
鮮蝦
蔥
魚露
冬菜
辣椒
","
10 隻
1 根
1 t
少許

",1.蝦子去殼去蝦仁、絲瓜去皮一切四滾刀塊、蔥切段備用2.準備熱鍋5T油，油滾（約160度）絲瓜過油後再過油蝦仁撈起備用3.油鍋中保留2T油爆香蔥段後放入絲瓜與蝦仁，下冬菜與魚露及辣椒，另外再放5T水煮滾，湯汁約收到1/3後下1t太白粉水勾芡即可起鍋
"
義式紅點豆湯麵PastaeFagioli
",TOOTS,https://img-global.cpcdn.com/recipes/8631198723d86c77/751x532cq70/%E7%BE%A9%E5%BC%8F%E7%B4%85%E9%BB%9E%E8%B1%86%E6%B9%AF%E9%BA%B5-pasta-e-fagioli-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ",Na,"乾燥紅點豆（borlotti）100公克
洋蔥60公克，切成綠豆大小
紅蘿蔔120公克，切成紅豆大小
西洋芹菜60公克，切成綠豆大小
紅熟番茄250公克，切小塊
大蒜一瓣，切細片
短型義大利麵（我用orecchiette）150公克
乾燥月桂葉一片
帕瑪森乳酪少許，刨絲
","








",1.乾燥紅點豆用清水洗淨濾乾後泡水一晚。隔天將豆子撈出置於小鍋中，另注入500公克的清水，用中小火將豆子煮至熟軟，約45-60分鐘。豆子煮熟後撈出一半備用，另一半用馬鈴薯壓泥器壓成泥，煮豆的水千萬不要倒掉。2.在另一個厚底鍋內倒入初榨橄欖油，以中小火加熱，倒入洋蔥、大蒜、芹菜與紅蘿蔔同炒，約15分鐘，至洋蔥軟熟。3.放入番茄炒至出水變軟，倒入步驟1與月桂葉。4.煮滾後放入適量鹽調味，再下義大利麵，將麵煮到自己喜歡的硬度即可。5.食用時撒上少許帕瑪森乳酪一起食用。
"
味蹭豆乳鍋
",lokyibb,https://img-global.cpcdn.com/recipes/caca9cd3476f0bef/751x532cq70/%E5%91%B3%E8%B9%AD%E8%B1%86%E4%B9%B3%E9%8D%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"無糖豆漿
白味噌
甘筍
板豆腐
椰菜花
洋蔥
本菇
芋絲
","







",1.材料切細，方便吃的大小2.豆腐下鍋煎至金黃色，甘筍椰菜花水煮，洋蔥本菇炒香3.材料都放鍋子裡倒入豆漿跟味噌攪拌均勻4.煮個3-4分鐘就可以享用了
"
BasqueBurntCheesecake
",jovana,https://img-global.cpcdn.com/recipes/9231807695bc4c5e/751x532cq70/basque-burnt-cheesecake-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"乳酪
糖
雞蛋
白美娜137g
檸檬汁
低筋麵粉
香草精
","250 g
60 g
2 顆

10 g
10 g

",1.乳酪打勻，依序加入糖、蛋(分兩次加入)、白美娜、檸檬汁、低粉2.過篩後倒入6吋模具3.水波爐預熱220度，烘烤200度20分鐘後轉向，再烤20分。稍涼後放入冰箱，夏天很適合的甜點。(但個人偏好溫熱的乳酪蛋糕)
"
涼拌牛蒡絲&毛豆雞丁便當
",北美liuliu,https://img-global.cpcdn.com/recipes/c6e6d87efbfb3889/751x532cq70/%E6%B6%BC%E6%8B%8C%E7%89%9B%E8%92%A1%E7%B5%B2%E6%AF%9B%E8%B1%86%E9%9B%9E%E4%B8%81%E4%BE%BF%E7%95%B6-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 25 分鐘
      ","胚芽米飯
芝麻香鬆
雞胸肉
冷凍熟毛豆
胡蘿蔔
紅辣椒
蒜
酪梨油
調味料:我家口味淡(重口味廚友們自己增添)
a
醬油
紹興料酒
地瓜粉
b
鹽
低鹽醬油
糖
白胡椒粉
水
牛蒡
胡蘿蔔絲
黑木耳
烤熟黑芝麻
烤熟白芝麻
調味料:
糖
白醋
黑豆白蔭油
香油
","1 碗
適量
220 g
150 g
30 g
1 根
3 瓣
2 大匙


1 大匙
1 大匙
1/2 小匙

1/8 小匙
1 小匙
1/2 小匙
1/8 小匙
1 大匙
1 支
30 g
25 g
1 大匙
1 大匙

2 大匙
1 大匙
1 大匙
1/2 大匙
","1.1.冷凍熟毛豆放室溫解凍，胡蘿蔔洗淨去皮切丁，雞胸肉切約1公分立方丁狀，辣椒切段、蒜切末。 
2.雞胸肉加入調味料a 混合均勻醃漬15分鐘入味，調味料b拌勻備用。 
3.炒鍋中倒入油，油溫熱，將醃好的雞里肌肉放入。2.1.中大火翻炒2分鐘至肉丁變色8分熟撈起備用。 
2.將辣椒及蒜末放入炒鍋中爆香後加入毛豆拌炒。 
3.加入胡蘿蔔丁、雞丁和調味料b 翻炒3分鐘。3.最後中大火翻炒收汁至雞肉全熟即可裝盤。4.胡蘿蔔切絲，備一鍋清水，牛蒡去表皮後，以刀切成細絲，邊切邊泡入水中，以防氧化變黑，再用水沖洗幾次，直到水成透明狀。 
1)煮滾一鍋水，先放胡蘿蔔絲煮2分取出，再放黑木耳煮3分取出切絲，最後放入牛蒡絲、煮約10分鐘，撈起瀝乾備用。 
2)將調味醬汁材料充分攪拌均勻備用。5.將牛蒡絲、胡蘿蔔絲、黑木耳絲及調味料、黑白芝麻混合均勻，入冰箱冷藏至隔天入味即可食用。6.最後將胚芽米飯撒上芝麻香鬆和所有菜放入便當即可。7.PS***涼拌牛蒡絲我是前一天煮當常備菜，可以縮短便當製作時間。我家炒菜是用酪梨油，純酪梨油加熱至255°C才會起油煙，優於橄欖油的160°C、葡萄籽油215°C、葵花油&亞麻仁油107°C，表示酪梨油在高溫烹調時，它的油品質依舊穩定，適合華人烹調習慣， 酪梨油不管是在單元或是多元不飽和脂肪酸都要比橄欖油更高。"
"
胡蘿蔔蔥花蛋捲
",May,https://img-global.cpcdn.com/recipes/3d127a922dd9171c/751x532cq70/%E8%83%A1%E8%98%BF%E8%94%94%E8%94%A5%E8%8A%B1%E8%9B%8B%E6%8D%B2-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1人份
  ","
 20 分鐘
      ","雞蛋
胡蘿蔔末
蔥末
油
調味料：
米酒
太白粉
鮮奶
鹽
柴魚高湯
","
適量
適量
適量

1 大匙
1 小匙
50 cc
1 大匙
80 cc
","1.將雞蛋打入碗中加入胡蘿蔔蔥末,再加入調味料攪拌均勻備用2.取一鐵鍋抹上一點點的油後，舀入一湯匙的蛋液，稍微搖動鍋子，讓蛋汁均勻流到各個角落，煎至蛋液略凝固時，將半凝固的蛋撥散拌勻，再將蛋皮由前往後對摺後，把蛋捲往前方推， 重復的動作將蛋液煎完3.即可完成美味可口的蛋捲 待微冷卻後即可切塊 放入便盒中"
"
輕鬆做簡單吃-美姬時蔬配肉絲
",茶樂芬呷吧咻迎Delphine jabashoyin,https://img-global.cpcdn.com/recipes/e1b6b4732f61d3a7/751x532cq70/%E8%BC%95%E9%AC%86%E5%81%9A%E7%B0%A1%E5%96%AE%E5%90%83-%E7%BE%8E%E5%A7%AC%E6%99%82%E8%94%AC%E9%85%8D%E8%82%89%E7%B5%B2-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"醬醃肉絲
肉絲
醬油
蛋白
蒜炒美姬菇
紅甜椒
黃甜椒
美姬菇
蒜頭
鹽
香菇高麗菜
乾香菇
高麗菜
紅蘿蔔
蒜頭
鹽
","
1/2 碗
適量
1 顆

1/4 顆
1/4 顆
1/2 盒
1 顆
適量

2 朵
2 片
2 片
1 顆
適量
",1.將肉絲用醬油醃製，再用蛋白抓勻醃製後，鍋中放入少許油，再將肉絲直接炒熟。2.甜椒切條，在鍋中放入少許油爆香後放入美姬菇，炒至出水後放入甜椒後加入調料拌勻即可3.鍋中放入油後放入香菇爆香，再放入蒜頭拌炒後紅蘿蔔絲、高麗菜炒軟後加入調料即可。
"
【台南七股-野生赤嘴】古早味蒜香赤嘴湯
",MUJO養生御膳房,https://img-global.cpcdn.com/recipes/bef8689867cfa53b/751x532cq70/%E5%8F%B0%E5%8D%97%E4%B8%83%E8%82%A1-%E9%87%8E%E7%94%9F%E8%B5%A4%E5%98%B4%E5%8F%A4%E6%97%A9%E5%91%B3%E8%92%9C%E9%A6%99%E8%B5%A4%E5%98%B4%E6%B9%AF-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 5人份
  ","
 2~3小時
      ","【古早味蒜香赤嘴湯】
野生赤嘴
剝皮蒜仁
九層塔
陳年紹興酒
米酒頭
香油
","

10 粒
1 大把
2 大匙
1 大匙
少許
","1.【赤嘴吐砂】
對了！赤嘴和文蛤都住海邊，不同較小個的蜆住淡水溪裡。
吐砂時，記得拿“鐵器”催吐，泡海水最好，沒有海水時能加點鹽，水別太高，模擬生長環境，別一直想偷摸他，讓赤嘴安心吐砂呦！2.噓～咱們就乖乖一旁等，等下就能看到野生赤嘴漂亮的橘色斧足，好運還可來場精彩的吐水秀可看呢^0^3.起一鍋滾水(約赤嘴的1.5倍，別太多湯頭才會鮮甜)加入2大匙的陳年紹興酒，及約10粒的剝皮蒜仁及煮到滾香。4.將吐過砂並刷洗過的赤嘴放入滾湯中，待赤嘴熟開。5.加入1大把九層塔，熄火，試味。
加入1大匙米酒頭和少許香油拌香，即可上桌品嚐。6.完成♥7.【台南七股-野生赤嘴:蚵學家赤嘴保存提醒】
媽媽千交代萬交待！她已經塑膠袋紮很緊，呈真空狀態，然後包報紙，冷凍宅配，此時赤嘴(帶殼活海產)是凍冷冷乖乖睡著中，來貨時如果還沒吃，記得如到貨時模樣(真空+報紙)放進冷凍庫，三天內吃完噢！
#七股野生赤嘴
#自有漁船七股蚵學家
#七股海寮碼頭龍海號
@https://www.facebook.com/longseaboat/8.【MUJO悄悄話】
MUJO曾駐點台南七股二年的旅遊部落客。
每次安排遊客深度旅遊七股必喝湯品，如餐廳數量不足才會上西瓜綿虱目魚湯^O^9.七股在地煮法是加蒜頭滾開，再加一把九層塔提香。第一次吃到的遊客總會驚艷回頭跟我說有夠濃郁有夠鮮，湯味如同蜆精，半斤赤嘴煮出的一鍋清湯猶如我用2斤蜆蒸出的精華，喝完超有精神。
跟蜆肉不同的是斧足為橘紅色，肉大鮮甜如文蛤，但又比文蛤肉Q且海味更鮮。歡迎饕客來嚐鮮^O^"
"
黑芝麻合桃吐司
",bear_tiramisu,https://img-global.cpcdn.com/recipes/bbb9a3f3893de60f/751x532cq70/%E9%BB%91%E8%8A%9D%E9%BA%BB%E5%90%88%E6%A1%83%E5%90%90%E5%8F%B8-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1份量
  ",Na,"麵包機桶
牛奶
雞蛋
高筋麵粉
黑芝麻粉
砂糖
食鹽
牛油
配料格
核桃
酵母
","
160 ml
1 隻
250 g
30 g
15 g
5 g
25 g

38 g
3 g
",1.順序放材料入麵包機桶2.糖鹽對角放3.牛油切粒放四周，10分鐘後落
"
泡菜燒肉飯
",woody屋底下的廚房,https://img-global.cpcdn.com/recipes/f17369660ba5ff7d/751x532cq70/%E6%B3%A1%E8%8F%9C%E7%87%92%E8%82%89%E9%A3%AF-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1人份
  ","
 50分鐘
      ","洋蔥
小黃瓜
梅花肉片
蛋
醬油
糖
米酒
孜然粉
泡菜
白飯
黃金泡菜
","100 克
1 根
300 克
1 顆
1 大匙
1/2 茶匙
1 茶匙
1/4 茶匙
200 克
300 克
50 克
","1.洋蔥切絲 小黃瓜切片2.梅花肉切成一口大小 用醬油 糖 孜然粉 米酒醃製3.熱一鍋水 煮一個水波蛋
(可以參考我以前的文章)4.熱鍋 將梅花肉煎至變色後加入洋蔥5.拌炒均勻 洋蔥軟化後加入泡菜6.翻炒均勻 試個味道
（可以再用醬油跟糖依照喜好調味）7.起鍋 白飯打底 放上泡菜燒肉 水波蛋 小黃瓜 黃金泡菜 完成"
"
芝麻烤雞
",lokyibb,https://img-global.cpcdn.com/recipes/9f42ac365ecfc363/751x532cq70/%E8%8A%9D%E9%BA%BB%E7%83%A4%E9%9B%9E-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1人份
  ",Na,"雞柳2條
白芝麻適量
調味料
醬油1匙
味醂1匙
料理酒1匙
黑胡椒適量
鹽巴少許
","







",1.雞柳條去筋及切丁（一口大小）2.調味料混合，醃製雞肉最少10分鐘3.雞肉表面沾上白芝麻4.送進烤箱220度15分鐘
"
豆芽炒肉
",woody屋底下的廚房,https://img-global.cpcdn.com/recipes/fa7781a0610c0da7/751x532cq70/%E8%B1%86%E8%8A%BD%E7%82%92%E8%82%89-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1人份
  ","
 50分鐘
      ","五花肉
蒜頭
醬油
糖
白胡椒
豆芽菜
蠔油
蔥
","600 克
10 克
4 大匙
2 大匙
1/2 茶匙
300 克
2 大匙
60 克
",1.豆芽菜洗淨 蔥斜切成段 蒜頭切末2.五花肉切薄片3.用蒜頭 醬油 糖 白胡椒 一半的蔥混合4.醃製30分鐘5.肉片用中火炒熟 盛出備用6.爆香蔥段 加入豆芽菜翻炒7.斷生後用蠔油調味8.盛盤 五花肉鋪底 豆芽堆成山形 完成
"
蝦肉雞柳扒（日式煎餅造型）
",lokyibb,https://img-global.cpcdn.com/recipes/3c25721f25d198e8/751x532cq70/%E8%9D%A6%E8%82%89%E9%9B%9E%E6%9F%B3%E6%89%92%E6%97%A5%E5%BC%8F%E7%85%8E%E9%A4%85%E9%80%A0%E5%9E%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2塊
  ","
 15分鐘
      ","雞柳條2
蝦子6
蔥花
調味料
醬油1匙
味醂1匙
料理油1匙
","






",1.1.把雞肉，蝦肉切碎跟蔥花混在一起2.2.加入調味料攪拌均勻3.3.用手塑型（不夠黏性可以加點太白粉）4.4.肉餅隔水蒸10分鐘5.5.出鍋後肉餅表面舖上海苔
"
古早味菜脯蛋
",May,https://img-global.cpcdn.com/recipes/b963f119974e6448/751x532cq70/%E5%8F%A4%E6%97%A9%E5%91%B3%E8%8F%9C%E8%84%AF%E8%9B%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ","
 10 分鐘
      ","蛋
味霖
菜脯
油
","3 顆
1 大匙
100 克
適量
",1.將菜脯洗淨後泡水20分鐘，擰乾水份切細末備用，取一碗將雞蛋打入，加入味霖及菜脯充分攪拌勻後2.取一平底鍋倒入油熱鍋後，將蛋液倒入，以中小火煎蓋上鍋蓋二分鐘後掀蓋煎至呈金黃色3.即可熄火起鍋盛盤
"
氣炸雞翅五分鐘料理
",Tingyaya,https://img-global.cpcdn.com/recipes/3c30645c262d07f1/751x532cq70/%E6%B0%A3%E7%82%B8%E9%9B%9E%E7%BF%85%E4%BA%94%E5%88%86%E9%90%98%E6%96%99%E7%90%86-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"雞翅數隻
烤肉醬兩匙
","

",1.雞翅劃刀抹上烤肉醬。2.放入氣炸鍋180度8分鐘，翻面，180度5分。
"
輕鬆做簡單吃-清炒高麗菜+煎肉片
",茶樂芬呷吧咻迎Delphine jabashoyin,https://img-global.cpcdn.com/recipes/49b7919de6ccb121/751x532cq70/%E8%BC%95%E9%AC%86%E5%81%9A%E7%B0%A1%E5%96%AE%E5%90%83-%E6%B8%85%E7%82%92%E9%AB%98%E9%BA%97%E8%8F%9C%E7%85%8E%E8%82%89%E7%89%87-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"高麗菜
豬肉片
蛋
鹽
烤肉醃醬
醬油
糖
","3 片
2 片
1 顆
適量

1 匙
1/4 匙
",1.將豬肉用醬料醃製後備用。2.煎一顆荷包蛋，依照自己喜好程度，太陽蛋或是散蛋、嫩蛋。3.將豬肉片煎至熟，高麗菜用些許油拌炒至熟加適量鹽，即可盛盤、擺上九層塔撒上辣粉配色即可享用。
"
鹹蛋炒苦瓜
",May,https://img-global.cpcdn.com/recipes/939b92ecf7d486fb/751x532cq70/%E9%B9%B9%E8%9B%8B%E7%82%92%E8%8B%A6%E7%93%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 3人份
  ","
 20 分鐘
      ","白玉苦瓜
鹹蛋
蒜末
辣椒
蔥
油
冰糖
米酒
鹽
水
","1 條
1 顆
適量

1 根
適量
1 小匙
2 大匙

50 cc
","1.將苦瓜洗淨後切薄片，蔥洗淨切段，鹹蛋對切蛋黃蛋白分開切末，備用2.取一鍋注入水燒開後將苦瓜川燙三分鐘後撈起瀝乾水份備用3.炒鍋倒入油放入蒜末炒香後，接著放入蛋黃末炒至起泡沫有香氣後，再加入蛋白，拌炒勻，緊接著苦瓜加入快速翻炒，加入冰糖 米酒 水 蓋上鍋蓋燜煮3三鐘左右,掀蓋拌勻加入蔥段，即可熄火 完成 盛盤"
"
紹興酒溏心蛋
",chou,https://img-global.cpcdn.com/recipes/67d264669885ace3/751x532cq70/%E7%B4%B9%E8%88%88%E9%85%92%E6%BA%8F%E5%BF%83%E8%9B%8B-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 10人份
  ",Na,"常溫雞蛋10顆
紹興酒
醬油
冷開水
","
2 大匙
2 大匙

",1.雞蛋清洗乾淨放電鍋， 外鍋放半杯水， 計時10分鐘， 時間到取出 立刻浸泡冷開水， 徹底放涼再剝殼才好剝。2.準備玻璃瓶， 醬油跟 紹興酒放進去， 把剝殼好的雞蛋放進去， 冷開水加至雞蛋淹滿， 放冰箱冷藏 二至三天就可以吃了。 放越久味道越濃
"
葱花烘蛋捲&日式佃煮牛蒡紅蘿蔔片便當
",北美liuliu,https://img-global.cpcdn.com/recipes/80b1ffa4c43c2854/751x532cq70/%E8%91%B1%E8%8A%B1%E7%83%98%E8%9B%8B%E6%8D%B2%E6%97%A5%E5%BC%8F%E4%BD%83%E7%85%AE%E7%89%9B%E8%92%A1%E7%B4%85%E8%98%BF%E8%94%94%E7%89%87%E4%BE%BF%E7%95%B6-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 20 分鐘
      ","日式佃煮牛蒡紅蘿蔔:
牛蒡
紅蘿蔔
水50cc
低醬油
醋
香油1大匙
糖
烤熟黑芝麻
烤熟白芝麻
蔥花烘蛋捲:
蛋3顆
葱花
酪梨油
配菜:
綠花椰菜
","
100 g
20 g

1 大匙
1 小匙

1/2 小匙
適量
適量


適量
適量

10 小朵
",1.紅蘿蔔洗淨去皮切片、牛蒡洗淨用刀背輕微去皮後切片泡水備用， 將牛蒡和紅蘿蔔放入鍋中加入水、醬油、醋、香油和糖煮至醬汁收乾即可，裝盤後撒上黑白芝麻。2.將蛋打勻，加入蔥花拌勻， 開中火煎鍋放入酪梨油，油溫熱時，轉小火放蛋液，慢慢將熟蛋皮慢慢捲起即可。3.將烘蛋捲切塊裝盤，綠花椰菜入滾水汆燙1分鐘取出，拌少許酪梨油。4.最後將所有菜放入便當即可。
"
輕鬆做簡單吃-香煎雞胸炒時蔬
",茶樂芬呷吧咻迎Delphine jabashoyin,https://img-global.cpcdn.com/recipes/5c95f79f431dda51/751x532cq70/%E8%BC%95%E9%AC%86%E5%81%9A%E7%B0%A1%E5%96%AE%E5%90%83-%E9%A6%99%E7%85%8E%E9%9B%9E%E8%83%B8%E7%82%92%E6%99%82%E8%94%AC-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 1人份
  ",Na,"雞胸肉
玉米筍
豆芽菜
蛋
香菇
辣椒
蒜頭
調料
黑胡椒
鹽
醬油
","1/2 副
3 支
1 碗
1 顆
2 朵
1 條
2 顆

適量
適量
適量
",1.將玉米筍、辣椒斜切、香菇切片、蒜頭拍碎備用，用適量的醬油醃製雞胸肉，並煎一顆荷包蛋。2.將雞胸肉一面乾煎至半熟後翻面，依序擺上玉米筍、香菇、豆芽菜以中小火蓋上鍋蓋。3.待蔬菜軟、熟透後，即可撒上蒜頭、黑胡椒、鹽拌炒，最後可將雞胸肉切片，即可起鍋享用。
"
久旱逢甘霖-楊枝甘露
",女醫說蔬,https://img-global.cpcdn.com/recipes/fb5fc012c1d42a27/751x532cq70/%E4%B9%85%E6%97%B1%E9%80%A2%E7%94%98%E9%9C%96-%E6%A5%8A%E6%9E%9D%E7%94%98%E9%9C%B2-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 6人份
  ",Na,"大芒果🥭
葡萄柚
椰槳🥥
鮮奶
砂糖
西谷米
","1 個
1/2 顆
100 cc
200 cc
50 g
100 g
",1.備好食材。2.加熱牛奶 100cc，加入砂糖 50g 溶解，放冷備用。3.芒果去皮，部分果肉切丁備用，其餘打成果汁備用。4.柚子剝好，把肉剝散，冷藏備用。5.6杯水 (量米杯) 煮滾後，放入西谷米煮至9分透明關火，燜到透明 (注意不要燜太久，免得糊掉，幾分鐘即可)，撈出沖涼且瀝乾水份。再拌入砂糖牛奶拌勻。6.將剩下的鮮奶100cc、椰奶、西谷米奶汁、芒果汁，混合均勻，再加入芒果丁、葡萄柚果肉混合均勻，即完成。7.
"
清炒青花筍(青花菜)
",isa小眼睛,https://img-global.cpcdn.com/recipes/23ed983195e871d9/751x532cq70/%E6%B8%85%E7%82%92%E9%9D%92%E8%8A%B1%E7%AD%8D-%E9%9D%92%E8%8A%B1%E8%8F%9C-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"青花菜
蒜頭
鹽
水
油
","
1-2 瓣
1/2 小匙
1 茶匙
1 小匙
",1.先把青花菜洗乾淨切段，青花菜梗跟葉分開，蒜頭切片。2.用一點油爆香蒜頭。先下梗的部分，再下葉子的部分。3.加入1點鹽，一點水，煮到熟就好(小心不要煮太久，會爛爛的)。4.完成❤️
"
焦糖布蕾
",黃錦淙,https://img-global.cpcdn.com/recipes/ce275bff1e020eb3/751x532cq70/%E7%84%A6%E7%B3%96%E5%B8%83%E8%95%BE-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"蛋黃3顆
糖30g
牛奶180cc
糖少許(焦糖用)
","



",1.牛奶加糖攪拌至溶解(牛奶加溫會比較快)2.蛋黃打混加上步驟1後攪拌後，過篩3.倒入容器放入電鍋蒸4.布蕾上面撒糖後用火槍烤後完成
"
茄汁鷄中翼
",Ernest Lee,https://img-global.cpcdn.com/recipes/2b641791776dd9af/751x532cq70/%E8%8C%84%E6%B1%81%E9%B7%84%E4%B8%AD%E7%BF%BC-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,na,Na,"鷄中翼
鹽
胡椒粉
芡汁
茄汁
水
","6 隻
適量
適量

3 湯匙
2 湯匙
",1.鷄翼洗淨，乾水，加入鹽及胡椒粉 醃味1小時。2.熱鑊煎鷄翼，兩面煎熟後，加入芡汁。3.煮至收汁後，上碟完成了。
"
素食版紅酒燉牛肉
",Be,https://img-global.cpcdn.com/recipes/fdd0def5dadc36e7/751x532cq70/%E7%B4%A0%E9%A3%9F%E7%89%88%E7%B4%85%E9%85%92%E7%87%89%E7%89%9B%E8%82%89-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 6人份
  ",Na,"材料
天貝200g
橄欖油
洋蔥半顆
蘑菇50g
紅酒350ml
胡蘿蔔半根
牛番茄2顆（或番茄糊35g取代）
南瓜半顆
調味
大蒜末（3瓣）
八角3顆
月桂葉2片
鹽少許
黑胡椒少許
麵粉1匙（喜歡稠狀的可以加）
","















",1.天貝、南瓜切塊狀，洋蔥切條狀，蘑菇一半切厚片一半切塊，牛番茄攪碎2.熱油到180度，放入天貝炸到四面變成金黃色（下鍋後調小火，約炸10分鐘），起鍋放旁邊備用3.加入蒜末、洋蔥小火炒軟並變焦糖色（一定要洋蔥變色味道才會香）4.加入八角、切片蘑菇炒軟，倒入2匙紅酒5.加入南瓜、紅蘿蔔、切塊蘑菇、番茄糊、天貝、月桂葉、鹽、黑胡椒、剩餘的紅酒與蓋過食材至少三公分高的水，飛利浦壓力鍋煲湯模式（約30分鐘） 提醒：如沒有壓力鍋，可直接大火煮滾5分鐘後轉小火，蓋上鍋蓋煨煮1.5小時6.完成
"
【影片】泰式大蝦青芒沙拉【老娘的草根飯堂】
",老娘,https://img-global.cpcdn.com/recipes/6b4662293b0c74e5/751x532cq70/%E5%BD%B1%E7%89%87%E6%B3%B0%E5%BC%8F%E5%A4%A7%E8%9D%A6%E9%9D%92%E8%8A%92%E6%B2%99%E6%8B%89-%E8%80%81%E5%A8%98%E7%9A%84%E8%8D%89%E6%A0%B9%E9%A3%AF%E5%A0%82-%E9%A3%9F%E8%AD%9C%E6%88%90%E5%93%81%E7%85%A7%E7%89%87.jpg,"
 2人份
  ","
 30 分鐘
      ","大蝦
青芒(大)
炸蒜片(氣炸)
炸乾蔥(氣炸)
芫茜
泰國蝦皮
醬汁
椰糖水
羅望子醬
魚露
青檸汁
泰式辣椒粉
蒜蓉
","
1 個


2-3 棵



2 小匙
2.5 大匙
2 大匙

2 小匙
","1.大蝦灼熟後待涼，之後去頭去殼備用2.蒜、乾蔥去皮切片後，用鹽水浸15分鐘(去苦味！)
之後用廚房紙卷好吸乾，靜置15分鐘3.180度預熱了5分鐘的氣炸鍋
炸10分鐘左右，每3-4分鐘打開看看翻翻，炸好備用4.青芒去皮後刨絲備用5.蝦皮白鑊炒香備用6.芫茜洗淨切去根部，切碎備用
醬汁先拌勻
之後將所有材料拌勻即成"
